document_id,doc_type,title,procedure_code,voivodeship_code,owner_institution,section_count,chunk_count,char_count
DOC-WZK-04,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - kujawsko-pomorskie,,04,Urzad Wojewodzki w Bydgoszcz,3,8,3618
DOC-WZK-06,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - lubelskie,,06,Urzad Wojewodzki w Lublin,3,8,3543
DOC-WZK-08,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - lubuskie,,08,Urzad Wojewodzki w Gorzow Wielkopolski,3,8,3548
DOC-WZK-10,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - lodzkie,,10,Urzad Wojewodzki w Lodz,3,8,3525
DOC-WZK-12,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - malopolskie,,12,Urzad Wojewodzki w Krakow,3,8,3559
DOC-WZK-14,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - mazowieckie,,14,Urzad Wojewodzki w Warszawa,3,8,3561
DOC-WZK-16,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - opolskie,,16,Urzad Wojewodzki w Opole,3,8,3534
DOC-WZK-18,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - podkarpackie,,18,Urzad Wojewodzki w Rzeszow,3,8,3568
DOC-WZK-20,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - podlaskie,,20,Urzad Wojewodzki w Bialystok,3,8,3546
DOC-WZK-22,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - pomorskie,,22,Urzad Wojewodzki w Gdansk,3,8,3543
DOC-WZK-24,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - slaskie,,24,Urzad Wojewodzki w Katowice,3,8,3529
DOC-WZK-26,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - swietokrzyskie,,26,Urzad Wojewodzki w Kielce,3,8,3583
DOC-WZK-28,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - warminsko-mazurskie,,28,Urzad Wojewodzki w Olsztyn,3,8,3624
DOC-WZK-30,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - wielkopolskie,,30,Urzad Wojewodzki w Poznan,3,8,3575
DOC-WZK-32,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - zachodniopomorskie,,32,Urzad Wojewodzki w Szczecin,3,8,3617
DOC-OL-02,plan_ol,Plan Ochrony Ludnosci - wojewodztwo dolnoslaskie,,02,Urzad Wojewodzki w Wroclaw,6,6,1300
DOC-OL-04,plan_ol,Plan Ochrony Ludnosci - wojewodztwo kujawsko-pomorskie,,04,Urzad Wojewodzki w Bydgoszcz,6,6,1336
DOC-OL-06,plan_ol,Plan Ochrony Ludnosci - wojewodztwo lubelskie,,06,Urzad Wojewodzki w Lublin,6,6,1282
DOC-OL-08,plan_ol,Plan Ochrony Ludnosci - wojewodztwo lubuskie,,08,Urzad Wojewodzki w Gorzow Wielkopolski,6,6,1276
DOC-OL-10,plan_ol,Plan Ochrony Ludnosci - wojewodztwo lodzkie,,10,Urzad Wojewodzki w Lodz,6,6,1270
DOC-OL-12,plan_ol,Plan Ochrony Ludnosci - wojewodztwo malopolskie,,12,Urzad Wojewodzki w Krakow,6,6,1294
DOC-OL-14,plan_ol,Plan Ochrony Ludnosci - wojewodztwo mazowieckie,,14,Urzad Wojewodzki w Warszawa,6,6,1294
DOC-OL-16,plan_ol,Plan Ochrony Ludnosci - wojewodztwo opolskie,,16,Urzad Wojewodzki w Opole,6,6,1276
DOC-OL-18,plan_ol,Plan Ochrony Ludnosci - wojewodztwo podkarpackie,,18,Urzad Wojewodzki w Rzeszow,6,6,1300
DOC-OL-20,plan_ol,Plan Ochrony Ludnosci - wojewodztwo podlaskie,,20,Urzad Wojewodzki w Bialystok,6,6,1282
DOC-OL-22,plan_ol,Plan Ochrony Ludnosci - wojewodztwo pomorskie,,22,Urzad Wojewodzki w Gdansk,6,6,1282
DOC-OL-24,plan_ol,Plan Ochrony Ludnosci - wojewodztwo slaskie,,24,Urzad Wojewodzki w Katowice,6,6,1270
DOC-OL-26,plan_ol,Plan Ochrony Ludnosci - wojewodztwo swietokrzyskie,,26,Urzad Wojewodzki w Kielce,6,6,1312
DOC-OL-28,plan_ol,Plan Ochrony Ludnosci - wojewodztwo warminsko-mazurskie,,28,Urzad Wojewodzki w Olsztyn,6,6,1342
DOC-OL-30,plan_ol,Plan Ochrony Ludnosci - wojewodztwo wielkopolskie,,30,Urzad Wojewodzki w Poznan,6,6,1306
DOC-OL-32,plan_ol,Plan Ochrony Ludnosci - wojewodztwo zachodniopomorskie,,32,Urzad Wojewodzki w Szczecin,6,6,1336
DOC-KPZK,kpzk,Krajowy Plan Zarzadzania Kryzysowego - karty zagrozen i siatka bezpieczenstwa,,,Rzadowe Centrum Bezpieczenstwa,22,22,7658
