procedure_code,step_no,step_title,role_code,wykonania,sla_compliance,mediana_czasu_min,sla_minutes,przekroczenie_pct,stosunek_do_normy
SPO-15,1,Przyjęcie informacji o zdarzeniu masowym i ocena skali,R_MZ,29,0.7931034482758621,25.2,30,20.7,0.84
SPO-1,6,Uzgodnienie projektów rekomendacji z ministrem wiodącym,R_DYR_RCB,78,0.7948717948717948,82.19999999999999,120,20.5,0.68
SPO-12,7,Sporządzenie raportu dobowego,R_ANAL_RCB,260,0.7961538461538461,1041.9499999999998,1440,20.4,0.72
SPO-3,11,Archiwizacja komunikatów i ocena skuteczności dotarcia,R_ANAL_RCB,158,0.7974683544303798,1017.05,1440,20.3,0.71
SPO-10,1,Przyjęcie zgłoszenia o zagrożeniu obiektu IK i jego rejestracja,R_DYZ_RCB,124,0.7983870967741935,20.75,30,20.2,0.69
SPO-10,10,Wnioski i aktualizacja planu ochrony IK po zdarzeniu,R_DYR_RCB,124,0.7983870967741935,2983.25,4320,20.2,0.69
SPO-10,4,Ocena skutków wtórnych i zależności międzysystemowych,R_ANAL_RCB,124,0.7983870967741935,122.55,180,20.2,0.68
SPO-13,6,Emisja komunikatu do ludności w kanałach masowych,R_RZECZ,46,0.8043478260869565,11.0,15,19.6,0.73
SPO-13,1,Przyjęcie informacji o zagrożeniu z systemu obrony powietrznej,R_MON,46,0.8043478260869565,3.6,5,19.6,0.72
SPO-13,8,Odwołanie alarmu i komunikat o zakończeniu zagrożenia,R_MON,46,0.8043478260869565,9.649999999999999,15,19.6,0.64
SPO-16,2,"Ocena, czy incydent spełnia kryteria incydentu krytycznego",R_ABW,67,0.8059701492537313,42.7,60,19.4,0.71
SPO-1,4,Powiadomienie członków RZZK oraz uczestników zaproszonych,R_SEKR_RZZK,78,0.8076923076923077,30.450000000000003,45,19.2,0.68
SPO-1,1,Przyjęcie i rejestracja wniosku o zwołanie posiedzenia RZZK,R_DYZ_RCB,78,0.8076923076923077,19.75,30,19.2,0.66
SPO-9,10,Raportowanie dobowe i ocena wydolności systemu,R_MSWIA,47,0.8085106382978723,1091.6,1440,19.1,0.76
SPO-3,9,Publikacja sprostowań i aktualizacji cyklicznych,R_RZECZ,158,0.810126582278481,119.85,180,19.0,0.67
SPO-2,9,Monitoring wydatkowania i sprawozdawczość okresowa,R_WOJ,90,0.8111111111111111,2072.9,2880,18.9,0.72
SPO-16,7,Obsługa posiedzenia i protokołowanie ustaleń,R_ABW,67,0.8208955223880597,112.8,180,17.9,0.63
SPO-1,7,Zapewnienie warunków organizacyjno-technicznych i łączności niejawnej,R_KPRM,78,0.8205128205128205,66.5,90,17.9,0.74
SPO-2,10,Rozliczenie końcowe i kontrola wykorzystania środków,R_MF,90,0.8222222222222222,2488.8,4320,17.8,0.58
SPO-12,6,Aktualizacja obrazu sytuacji i zasilenie COP,R_ANAL_RCB,260,0.823076923076923,42.1,60,17.7,0.7
SPO-13,2,Weryfikacja i ocena wiarygodności sygnału,R_MON,46,0.8260869565217391,6.7,10,17.4,0.67
SPO-13,3,Określenie obszaru zagrożonego i sposobu alarmowania,R_MON,46,0.8260869565217391,7.199999999999999,10,17.4,0.72
SPO-15,10,Raport z realizacji i rozliczenie kosztów,R_MZ,29,0.8275862068965517,2086.4,2880,17.2,0.72
SPO-15,8,Zabezpieczenie medyczne w trakcie transportu,R_MZ,29,0.8275862068965517,38.8,60,17.2,0.65
SPO-15,6,Koordynacja przestrzeni powietrznej i priorytetów lotów,R_MON,29,0.8275862068965517,41.4,60,17.2,0.69
SPO-9,9,Komunikacja społeczna i przeciwdziałanie dezinformacji,R_RZECZ,47,0.8297872340425532,118.9,180,17.0,0.66
SPO-9,1,Monitoring i prognoza liczby osób przekraczających granicę,R_KGSG,47,0.8297872340425532,70.8,120,17.0,0.59
SPO-2,6,"Uzyskanie opinii RZZK, jeśli wymagana zakresem zdarzenia",R_SEKR_RZZK,90,0.8333333333333334,494.35,720,16.7,0.69
SPO-12,8,Archiwizacja i zapewnienie śladu audytowego,R_DYZ_RCB,260,0.8423076923076923,927.4000000000001,1440,15.8,0.64
SPO-16,9,Komunikacja publiczna uzgodniona ze służbami,R_RZECZ,67,0.8507462686567164,122.0,180,14.9,0.68
SPO-9,7,Uruchomienie środków finansowych w trybie SPO-2,R_MF,47,0.851063829787234,478.3,720,14.9,0.66
SPO-9,6,Koordynacja z organizacjami pozarządowymi i samorządami,R_WOJ,47,0.851063829787234,200.8,360,14.9,0.56
SPO-16,6,Koordynacja działań z operatorami usług kluczowych,R_OPER_IK,67,0.8507462686567164,146.6,240,14.9,0.61
SPO-3,10,Briefing prasowy lub konferencja z udziałem ministra wiodącego,R_RZECZ,158,0.8607594936708861,144.85,240,13.9,0.6
SPO-16,10,Raport po incydencie i wnioski do procedur,R_CSIRT,67,0.8656716417910447,3195.1,4320,13.4,0.74
SPO-13,4,Przekazanie sygnału do wojewódzkich centrów zarządzania kryzysowego,R_MON,46,0.8695652173913043,3.7,5,13.0,0.74
SPO-10,7,"Wprowadzenie ograniczeń lub reglamentacji, jeśli konieczne",R_MIN_WIOD,124,0.8709677419354839,330.70000000000005,480,12.9,0.69
SPO-10,9,Informowanie odbiorców usług o przewidywanym czasie przywrócenia,R_RZECZ,124,0.8790322580645161,81.30000000000001,120,12.1,0.68
SPO-16,8,Przekazanie rekomendacji do RZZK lub Prezesa Rady Ministrów,R_SEKR_RZZK,67,0.8805970149253731,80.9,120,11.9,0.67
SPO-1,8,Obsługa posiedzenia i protokołowanie przebiegu,R_SEKR_RZZK,78,0.8846153846153846,122.25,180,11.5,0.68
SPO-13,5,Uruchomienie syren i systemów alarmowych na obszarze zagrożonym,R_WOJ,46,0.8913043478260869,6.5,10,10.9,0.65
SPO-16,5,Uzgodnienie rekomendacji dotyczących stopni alarmowych,R_ABW,67,0.9104477611940298,99.6,180,9.0,0.55
SPO-13,9,Analiza przebiegu alarmowania i wnioski,R_MON,46,0.9130434782608695,928.95,1440,8.7,0.65
